Car pool - car_pool Not In 2-98

Trip 2011
ROW : gta06_orig
COLUMN : gta06_dest
  gta06_orig  gta06_dest      total
        7034        7029         17
        7034        7031         27
        7034        7036         21
        7034        7039         17
        7034        7042         27
        7034        7052         13
        7034        7105         27
        7034        7106         10
        7034        7108         24
        7034        7112         24
        7034        7118         27
        7034        7246         28
        7034        7254         38
        7034        7257         58
        7034        7258         13
        7034        7264         59
        7035        7001         18
        7035        7002         31
        7035        7007         27
        7035        7009         53
        7035        7013         54
        7035        7017         71
        7035        7021         26
        7035        7025         38
        7035        7026         30
        7035        7028         36
        7035        7032         18
        7035        7033         13
        7035        7038         10
        7035        7039         67
        7035        7042        296
        7035        7045         13
        7035        7049         27
        7035        7050         97
        7035        7051         13
        7035        7052         18
        7035        7054         27
        7035        7055         13
        7035        7059         10
        7035        7105         18
        7035        7108         61
        7035        7110         10
        7035        7111         18
        7035        7117         58
        7035        7122         10
        7035        7124         22
        7035        7246         42
        7035        7247         27
        7035        7253         13
        7035        7255         24
        7035        7257         19
        7035        7260         10
        7035        7261         50
        7035        7262          9
        7035        7458         31
        7035        7572         13
        7036        7002         21
        7036        7016         18
        7036        7018         13
        7036        7025         60
        7036        7026         49
        7036        7031         13
        7036        7034         21
        7036        7042         18
        7036        7050         17
        7036        7051         18
        7036        7099         10
        7036        7105         22
        7036        7108         12
        7036        7248         15
        7036        7253         21
        7036        7257         17
        7036        7259         27
        7036        7261         33
        7036        7458         23
        7036        7557         13
        7036        7572         17
        7037        7002         20
        7037        7008         19
        7037        7013         10
        7037        7020         27
        7037        7025         21
        7037        7026         13
        7037        7033         35
        7037        7039         18
        7037        7042         28
        7037        7043         27
        7037        7049         30
        7037        7100         17
        7037        7101         18
        7037        7106         10
        7037        7111         14
        7037        7116         18
        7037        7118         18
        7037        7122         13
        7037        7246         33
        7037        7257         10
        7037        7259         18
        7038        7009         13
        7038        7011         16
        7038        7014         12
        7038        7021         13
        7038        7025         15
        7038        7029         40
        7038        7035         24
        7038        7039          9
        7038        7050         17
        7038        7055         13
        7038        7105         13
        7038        7108         32
        7038        7255         24
        7038        7257         18
        7038        7276         13
        7038        7572         18
        7039        7001         30
        7039        7002        118
        7039        7004         20
        7039        7005         32
        7039        7006        438
        7039        7008         31
        7039        7011         59
        7039        7013        136
        7039        7014         32
        7039        7015         55
        7039        7016         27
        7039        7017         15
        7039        7023         10
        7039        7025         94
        7039        7026         15
        7039        7028         71
        7039        7029         66
        7039        7033         26
        7039        7034         17
        7039        7035         51
        7039        7037         18
        7039        7038         34
        7039        7040         13
        7039        7042        176
        7039        7043         27
        7039        7049         12
        7039        7051         18
        7039        7054         27
        7039        7055         18
        7039        7060         45
        7039        7094         29
        7039        7098         33
        7039        7100         17
        7039        7105         47
        7039        7106         18
        7039        7112         13
        7039        7113         10
        7039        7117         15
        7039        7124         38
        7039        7125         77
        7039        7129         38
        7039        7132         29
        7039        7135         27
        7039        7139         12
        7039        7141         14
        7039        7246         21
        7039        7248         41
        7039        7253         51
        7039        7256         13
        7039        7257         18
        7039        7258         16
        7039        7260         15
        7039        7261         17
        7039        7262         21
        7039        7263         22
        7039        7265         32
        7039        7276         23
        7039        7278         21
        7039        7572         32
        7040        7016         17
        7040        7026         32
        7040        7028         15
        7040        7029         13
        7040        7031         32
        7040        7039         13
        7040        7042         22
        7040        7052         22
        7040        7106         16
        7040        7238         32
        7040        7246         56
        7040        7249         21
        7040        7253         32
        7040        7257         27
        7040        7264         15
        7041        7013         32
        7041        7024         42
        7041        7035         22
        7041        7048         14
        7041        7049         16
        7041        7103         13
        7041        7104         18
        7041        7108         21
        7041        7110         26
        7041        7112         20
        7041        7246         64
        7041        7249         10
        7041        7259         27
        7041        7289         32
        7042        7002        130
        7042        7005         31
        7042        7006         63
        7042        7007         18
        7042        7008         22
        7042        7010         76
        7042        7011        123
        7042        7012         32
        7042        7013        244
        7042        7014         32
        7042        7017          9
        7042        7020         68
        7042        7021         32
        7042        7022         27
        7042        7024         67
        7042        7025        137
        7042        7026         68
        7042        7028        179
        7042        7029        115
        7042        7032         35
        7042        7034         70
        7042        7035        269
        7042        7037         28
        7042        7039        188
        7042        7049         44
        7042        7051         48
        7042        7053         62
        7042        7054         56
        7042        7055         32
        7042        7056         31
        7042        7057         10
        7042        7059        117
        7042        7097         40
        7042        7098         95
        7042        7099         27
        7042        7100         83
        7042        7101        138
        7042        7104         61
        7042        7105         59
        7042        7106         59
        7042        7107         35
        7042        7108         45
        7042        7110        105
        7042        7111         27
        7042        7112         59
        7042        7113         61
        7042        7115         62
        7042        7116         28
        7042        7117         41
        7042        7118        150
        7042        7121         69
        7042        7123         20
        7042        7129        113
        7042        7134         20
        7042        7135         18
        7042        7137         29
        7042        7138         20
        7042        7139         49
        7042        7141         35
        7042        7142         44
        7042        7146         29
        7042        7152         16
        7042        7154         29
        7042        7244         21
        7042        7246        375
        7042        7247         79
        7042        7248        240
        7042        7249        107
        7042        7251         22
        7042        7252         19
        7042        7253        185
        7042        7254        260
        7042        7255        402
        7042        7256        101
        7042        7257        332
        7042        7258         68
        7042        7259         50
        7042        7260         74
        7042        7261         26
        7042        7262        193
        7042        7263        115
        7042        7264        303
        7042        7265         78
        7042        7266         18
        7042        7270         32
        7042        7272         54
        7042        7274         97
        7042        7278         27
        7042        7282         17
        7042        7285         76
        7042        7286         81
        7042        7287         86
        7042        7289         35
        7042        7293         20
